OpportunityID,OpportunityTitle,OpportunityNumber,OpportunityCategory,FundingInstrumentType,CategoryOfFundingActivity,CategoryExplanation,CFDANumbers,EligibleApplicants,AdditionalInformationOnEligibility,AgencyCode,AgencyName,PostDate,CloseDate,LastUpdatedDate,AwardCeiling,AwardFloor,EstimatedTotalProgramFunding,ExpectedNumberOfAwards,Description,Version,CostSharingOrMatchingRequirement,ArchiveDate,GrantorContactEmail,GrantorContactEmailDescription,GrantorContactText,AdditionalInformationURL,AdditionalInformationText,CloseDateExplanation,OpportunityCategoryExplanation
331835,"Pilot Effectiveness Trials for Treatment, Preventive and Services Interventions (R34 Clinical Trial Required)",PAR-21-131,D,G,HL,,93.242,25,Other Eligible Applicants include the following:  Alaska Native and Native Hawaiian Serving Institutions; Asian American Native American Pacific Islander Serving Institutions (AANAPISISs); Eligible Agencies of the Federal Government; Faith-based or Community-based Organizations; Hispanic-serving Institutions; Historically Black Colleges and Universities (HBCUs); Indian/Native American Tribal Governments (Other than Federally Recognized); Non-domestic (non-U.S.) Entities (Foreign Organizations); Regional Organizations; Tribally Controlled Colleges and Universities (TCCUs) ; U.S. Territory or Possession.,HHS-NIH11,National Institutes of Health,03022021,2024-02-15,01212022,,,,,"This is a reissue of RFA-MH-18-706: Pilot Effectiveness Trials for Treatment, Preventive and Services Interventions (R34- Clinical Trial Required). As part of NIMH&apos;s clinical trials pipeline FOAs, this announcement encourages pilot effectiveness studies focused on 1) optimizing the effectiveness of preventive and therapeutic interventions with previously demonstrated efficacy, for use with broader target populations or for use in community practice settings, and 2) developing and preliminary testing innovative services interventions. Consistent with the NIMH experimental therapeutics approach, this FOA is intended to support pilot studies of intervention effectiveness or service delivery approaches that explicitly address whether the intervention engages the target(s)/mechanism(s) presumed to underlie the intervention effects (i.e., the mechanism(s) that accounts for changes in clinical/functional outcomes, changes in provider behavior, improved access or continuity of services, etc.).",Synopsis 1,No,03222024,FBOWebmaster@OD.NIH.GOV,"If you have any problems linking to this funding announcement, please contact the NIH OER Webmaster",NIH OER Webmaster&lt;br/&gt;FBOWebmaster@OD.NIH.GOV,http://grants.nih.gov/grants/guide/pa-files/PAR-21-131.html,http://grants.nih.gov/grants/guide/pa-files/PAR-21-131.html,,
331834,Confirmatory Efficacy Clinical Trials of Non-Pharmacological Interventions for Mental Disorders (R01 Clinical Trial Required),PAR-21-132,D,G,HL,,93.242,25,Other Eligible Applicants include the following:  Alaska Native and Native Hawaiian Serving Institutions; Asian American Native American Pacific Islander Serving Institutions (AANAPISISs); Eligible Agencies of the Federal Government; Faith-based or Community-based Organizations; Hispanic-serving Institutions; Historically Black Colleges and Universities (HBCUs); Indian/Native American Tribal Governments (Other than Federally Recognized); Non-domestic (non-U.S.) Entities (Foreign Organizations); Regional Organizations; Tribally Controlled Colleges and Universities (TCCUs) ; U.S. Territory or Possession.,HHS-NIH11,National Institutes of Health,03022021,2024-02-15,01212022,,,,,"This is a reissue of RFA-MH-18-707: Confirmatory Efficacy Clinical Trials of Non-Pharmacological Interventions for Mental Disorders (R01 Clinical Trial Required). As part of NIMH&apos;s clinical trials pipeline FOAs, this announcement supports confirmatory efficacy testing of non pharmacological therapeutic and preventive interventions for mental disorders in adults and children that address unmet therapeutic needs, and are consistent with the NIMH emphasis on the experimental therapeutics approach. In this approach, clinical trials should be designed to increase knowledge of the relationship between underlying disease processes and the mechanisms of action through which any intervention produces therapeutic change.",Synopsis 1,No,03222024,FBOWebmaster@OD.NIH.GOV,"If you have any problems linking to this funding announcement, please contact the NIH OER Webmaster",NIH OER Webmaster&lt;br/&gt;FBOWebmaster@OD.NIH.GOV,http://grants.nih.gov/grants/guide/pa-files/PAR-21-132.html,http://grants.nih.gov/grants/guide/pa-files/PAR-21-132.html,,
331840,Early Stage Testing of Pharmacologic or Device-based Interventions for the Treatment of Mental Disorders (R33- Clinical Trial Required),PAR-21-136,D,G,HL,,93.242,25,Other Eligible Applicants include the following:  Alaska Native and Native Hawaiian Serving Institutions; Asian American Native American Pacific Islander Serving Institutions (AANAPISISs); Eligible Agencies of the Federal Government; Faith-based or Community-based Organizations; Hispanic-serving Institutions; Historically Black Colleges and Universities (HBCUs); Indian/Native American Tribal Governments (Other than Federally Recognized); Non-domestic (non-U.S.) Entities (Foreign Organizations); Regional Organizations; Tribally Controlled Colleges and Universities (TCCUs) ; U.S. Territory or Possession.,HHS-NIH11,National Institutes of Health,03022021,2024-02-15,01212022,,,,,"This is a reissue of RFA-MH-18-703: Early Stage Testing of Pharmacologic or Device-based Interventions for the Treatment of Mental Disorders (R33- Clinical Trial Required). NIMH requires an experimental therapeutics approach for the development and testing of therapeutic interventions, in which studies both evaluate the clinical effect of an intervention and generate information about the mechanisms underlying a disorder or an intervention response. As part of NIMHs Clinical Trial Pipeline, this FOA encourages early stage testing of pharmacologic interventions with novel mechanisms of actions or device-based interventions. More specifically, this FOA is intended to support early stage testing of pharmacologic or device-based interventions using a protocol design where the presumed mechanism of action of the intervention is adequately tested, to provide meaningful information where target modulation yields a dose-dependent neurophysiological/clinical/behavioral effect.",Synopsis 1,No,03222024,FBOWebmaster@OD.NIH.GOV,"If you have any problems linking to this funding announcement, please contact the NIH OER Webmaster",NIH OER Webmaster&lt;br/&gt;FBOWebmaster@OD.NIH.GOV,http://grants.nih.gov/grants/guide/pa-files/PAR-21-136.html,http://grants.nih.gov/grants/guide/pa-files/PAR-21-136.html,,
331856,"Clinical Trials to Test the Effectiveness of Treatment, Preventive, and Services Interventions (Collaborative R01 Clinical Trial Required)",PAR-21-129,D,G,HL,,93.242,25,Other Eligible Applicants include the following:  Alaska Native and Native Hawaiian Serving Institutions; Asian American Native American Pacific Islander Serving Institutions (AANAPISISs); Eligible Agencies of the Federal Government; Faith-based or Community-based Organizations; Hispanic-serving Institutions; Historically Black Colleges and Universities (HBCUs); Indian/Native American Tribal Governments (Other than Federally Recognized); Non-domestic (non-U.S.) Entities (Foreign Organizations); Regional Organizations; Tribally Controlled Colleges and Universities (TCCUs) ; U.S. Territory or Possession.,HHS-NIH11,National Institutes of Health,03022021,2024-02-15,01212022,,,,,"This is a reissue of RFA-MH-18-700: Clinical Trials to Test the Effectiveness of Treatment, Preventive, and Services Interventions (Collaborative R01-- Clinical Trial Required). This FOA is a key element of NIMHs set of FOAs to support clinical trials research across the intervention development and testing pipeline. The FOA supports (1) clinical trials to test the effectiveness of optimized therapeutic and preventive interventions for use in community and practice settings; and (2) clinical trials to evaluate the effectiveness of patient-, provider-, organizational-, or systems-level services interventions to improve access, continuity, quality, equity, and/or value of mental health services. This FOA is intended to support trials that: address a significant problem, such that the findings have potential to inform practice; are adequately powered to definitively answer the primary research question(s), with well-justified hypotheses supported by pilot data; and are designed to examine questions regarding mediators and moderators of effects. Consistent with the NIMH experimental therapeutics approach, this FOA is intended to support effectiveness trials that explicitly address whether the intervention engages the target(s)/mechanism(s) presumed to underlie the intervention effects (i.e., the mechanism(s) that accounts for changes in clinical/functional outcomes, changes in provider behavior, improved access or continuity of services, etc.). The collaborative R01 mechanism provides support for multisite trials when two or more sites are necessary for completion of the trial (e.g., to increase sample size, accelerate recruitment, or increase sample diversity and representation).",Synopsis 1,No,03222024,FBOWebmaster@OD.NIH.GOV,"If you have any problems linking to this funding announcement, please contact the NIH OER Webmaster",NIH OER Webmaster&lt;br/&gt;FBOWebmaster@OD.NIH.GOV,http://grants.nih.gov/grants/guide/pa-files/PAR-21-129.html,http://grants.nih.gov/grants/guide/pa-files/PAR-21-129.html,,
331858,Early Stage Testing of Pharmacologic or Device-based Interventions for the Treatment of Mental Disorders (R61/R33 Clinical Trial Required),PAR-21-137,D,G,HL,,93.242,25,Other Eligible Applicants include the following:  Alaska Native and Native Hawaiian Serving Institutions; Asian American Native American Pacific Islander Serving Institutions (AANAPISISs); Eligible Agencies of the Federal Government; Faith-based or Community-based Organizations; Hispanic-serving Institutions; Historically Black Colleges and Universities (HBCUs); Indian/Native American Tribal Governments (Other than Federally Recognized); Non-domestic (non-U.S.) Entities (Foreign Organizations); Regional Organizations; Tribally Controlled Colleges and Universities (TCCUs) ; U.S. Territory or Possession.,HHS-NIH11,National Institutes of Health,03022021,2024-02-15,01212022,,,,,"This is a reissue of RFA-MH-18-702: Early Stage Testing of Pharmacologic or Device-based Interventions for the Treatment of Mental Disorders (R61/R33- Clinical Trial Required). NIMH requires an experimental therapeutics approach for the development and testing of therapeutic interventions, in which studies both evaluate the clinical effect of an intervention and generate information about the mechanisms underlying a disorder or an intervention response. As part of NIMHs Clinical Trial Pipeline, this FOA encourages early stage testing of pharmacologic interventions with novel mechanisms of actions or device-based interventions. More specifically, this FOA is intended to support early stage testing of pharmacologic or device-based interventions using a protocol design where the presumed mechanism of action of the intervention is adequately tested, to provide meaningful information where target modulation yields a dose-dependent neurophysiological/clinical/behavioral effect.",Synopsis 1,No,03222024,FBOWebmaster@OD.NIH.GOV,"If you have any problems linking to this funding announcement, please contact the NIH OER Webmaster",NIH OER Webmaster&lt;br/&gt;FBOWebmaster@OD.NIH.GOV,http://grants.nih.gov/grants/guide/pa-files/PAR-21-137.html,http://grants.nih.gov/grants/guide/pa-files/PAR-21-137.html,,
331897,AD/ADRD Clinical Trials Short Course (R25 Independent Clinical Trial Not Allowed),PAR-21-141,D,G,HL,,93.866,25,"Other Eligible Applicants include the following:  Alaska Native and Native Hawaiian Serving Institutions; Asian American Native American Pacific Islander Serving Institutions (AANAPISISs); Eligible Agencies of the Federal Government; Faith-based or Community-based Organizations; Hispanic-serving Institutions; Historically Black Colleges and Universities (HBCUs); Indian/Native American Tribal Governments (Other than Federally Recognized); Non-domestic (non-U.S.) Entities (Foreign Organizations); Regional Organizations; Tribally Controlled Colleges and Universities (TCCUs) ; U.S. Territory or Possession; Non-domestic (non-U.S.) Entities (Foreign Institutions) are not eligible to apply  Non-domestic (non-U.S.) components of U.S. Organizations are not eligible to apply.  Foreign components, as defined in the NIH Grants Policy Statement, are not allowed.",HHS-NIH11,National Institutes of Health,03042021,2023-09-07,01212022,400000,,,,It is essential to expand and diversify the skilled AD/ADRD clinical trial workforce. The intent of this Funding Opportunity Announcement (FOA) is to encourage applications that develop creative and innovative short courses to train the next generation of AD/ADRD clinical trialists in state-of-the-art clinical research skills.,Synopsis 1,No,10132023,FBOWebmaster@OD.NIH.GOV,"If you have any problems linking to this funding announcement, please contact the NIH OER Webmaster",NIH OER Webmaster&lt;br/&gt;FBOWebmaster@OD.NIH.GOV,http://grants.nih.gov/grants/guide/pa-files/PAR-21-141.html,http://grants.nih.gov/grants/guide/pa-files/PAR-21-141.html,,
331912,NIDCR Clinical Trial Planning and Implementation Cooperative Agreement (UG3/UH3 Clinical Trial Required),PAR-21-160,D,CA,HL,,93.121,25,"Other Eligible Applicants include the following:  Alaska Native and Native Hawaiian Serving Institutions; Asian American Native American Pacific Islander Serving Institutions (AANAPISISs); Eligible Agencies of the Federal Government; Faith-based or Community-based Organizations; Hispanic-serving Institutions; Historically Black Colleges and Universities (HBCUs); Indian/Native American Tribal Governments (Other than Federally Recognized); Non-domestic (non-U.S.) Entities (Foreign Organizations); Regional Organizations; Tribally Controlled Colleges and Universities (TCCUs) ; U.S. Territory or Possession; Non-domestic (non-U.S.) Entities (Foreign Institutions) are not eligible to apply.  Non-domestic (non-U.S.) components of U.S. Organizations are not eligible to apply.  Foreign components, as defined in the NIH Grants Policy Statement, are not allowed.",HHS-NIH11,National Institutes of Health,03042021,2024-05-07,01212022,,,,,"The purpose of this Funding Opportunity Announcement (FOA) is to seek UG3/UH3 phased cooperative agreement research applications to plan and implement clinical trials within the mission of NIDCR. Awards made under this FOA will initially support a one-year milestone-driven planning phase (UG3), with possible transition to a clinical trial implementation phase of up to five years (UH3). Only UG3 projects that have met the scientific milestones and feasibility requirements may transition to the UH3 phase. The UG3/UH3 application must be submitted as a single application, following the instructions described in this FOA. The UH3 phase of the award will support the conduct of one investigator-initiated clinical trial.",Synopsis 1,No,06122024,FBOWebmaster@OD.NIH.GOV,"If you have any problems linking to this funding announcement, please contact the NIH OER Webmaster",NIH OER Webmaster&lt;br/&gt;FBOWebmaster@OD.NIH.GOV,http://grants.nih.gov/grants/guide/pa-files/PAR-21-160.html,http://grants.nih.gov/grants/guide/pa-files/PAR-21-160.html,,
331936,NIOSH Support for Conferences and Scientific Meetings (U13 Clinical Trial Not Allowed),PAR-21-193,D,CA,HL,,93.262,25,"Other Eligible Applicants include the following:  Alaska Native and Native Hawaiian Serving Institutions; Asian American Native American Pacific Islander Serving Institutions (AANAPISISs); Eligible Agencies of the Federal Government; Faith-based or Community-based Organizations; Hispanic-serving Institutions; Historically Black Colleges and Universities (HBCUs); Indian/Native American Tribal Governments (Other than Federally Recognized); Non-domestic (non-U.S.) Entities (Foreign Organizations); Regional Organizations; Tribally Controlled Colleges and Universities (TCCUs) ; U.S. Territory or Possession; Non-domestic (non-U.S.) Entities (Foreign Institutions) are not eligible to apply. Non-domestic (non-U.S.) components of U.S. Organizations are not eligible to apply. Foreign components, as defined in the HHS Grants Policy Statement are not allowed.",HHS-NIH11,National Institutes of Health,03052021,2025-12-14,03142023,,,,,"The purpose of the NIOSH Support for Conferences and Scientific Meetings (U13) is to support high quality scientific meetings, conferences, and workshops that are relevant to NIOSHs scientific mission and that promote occupational safety and health, NIOSH program priorities, and public health. The conference program is integral to the overall mission of NIOSH. An application should address and advance important areas of research in the field of occupational safety and health of particular interest to NIOSH programs and the National Occupational Research Agenda.",Synopsis 1,No,01192026,FBOWebmaster@OD.NIH.GOV,"If you have any problems linking to this funding announcement, please contact the NIH OER Webmaster",NIH OER Webmaster&lt;br/&gt;FBOWebmaster@OD.NIH.GOV,http://grants.nih.gov/grants/guide/pa-files/PAR-21-193.html,http://grants.nih.gov/grants/guide/pa-files/PAR-21-193.html,,
331945,New Directions in Hematology Research (SHINE-II) (R01 Clinical Trial Optional),PAS-21-150,D,G,HL,,93.866,25,"Other Eligible Applicants include the following:  Alaska Native and Native Hawaiian Serving Institutions; Asian American Native American Pacific Islander Serving Institutions (AANAPISISs); Eligible Agencies of the Federal Government; Faith-based or Community-based Organizations; Hispanic-serving Institutions; Historically Black Colleges and Universities (HBCUs); Indian/Native American Tribal Governments (Other than Federally Recognized); Regional Organizations; Tribally Controlled Colleges and Universities (TCCUs) ; U.S. Territory or Possession; Non-domestic (non-U.S.) Entities (Foreign Institutions) are not eligible to apply.  Non-domestic (non-U.S.) components of U.S. Organizations are not eligible to apply.  Foreign components, as defined in the NIH Grants Policy Statement, are allowed.",HHS-NIH11,National Institutes of Health,03082021,2024-05-07,01212022,200000,,2100000,,"This Funding Opportunity Announcement (FOA) seeks innovative grant applications in nonmalignant hematology research that will steer the field in new directions. Applications to this FOA should propose proof of principle research that is tightly focused into one specific aim, which can be accomplished within a 1-3 year project period, and is directed at validating novel concepts and approaches that promise to open new pathways for discovery.",Synopsis 1,No,06122024,FBOWebmaster@OD.NIH.GOV,"If you have any problems linking to this funding announcement, please contact the NIH OER Webmaster",NIH OER Webmaster&lt;br/&gt;FBOWebmaster@OD.NIH.GOV,http://grants.nih.gov/grants/guide/pa-files/PAS-21-150.html,http://grants.nih.gov/grants/guide/pa-files/PAS-21-150.html,,
332045,Blueprint Neurotherapeutics Network (BPN): Biologic-based Drug Discovery and Development for Disorders of the Nervous System (UG3/UH3 Clinical Trial Optional),PAR-21-163,D,CA,ISS,,93.867,25,Other Eligible Applicants include the following:  Alaska Native and Native Hawaiian Serving Institutions; Asian American Native American Pacific Islander Serving Institutions (AANAPISISs); Eligible Agencies of the Federal Government; Faith-based or Community-based Organizations; Hispanic-serving Institutions; Historically Black Colleges and Universities (HBCUs); Indian/Native American Tribal Governments (Other than Federally Recognized); Non-domestic (non-U.S.) Entities (Foreign Organizations); Regional Organizations; Tribally Controlled Colleges and Universities (TCCUs) ; U.S. Territory or Possession.,HHS-NIH11,National Institutes of Health,03112021,2024-05-07,01212022,,,,,"The Blueprint Neurotherapeutics Network for Biologics (BPN-Biologics) provides support for biologic-based therapeutic discovery and development, from lead optimization through phase I clinical testing. This Funding Opportunity Announcement (FOA) supports preclinical discovery and development of potential therapeutic Biotechnology Products and Biologics including, but not limited to, large biologic macromolecules, (e.g., proteins, antibodies, and peptides), gene-based therapies (i.e., oligonucleotide- and viral-based), cell therapies, and novel emerging therapies (e.g., microbial and microbiome therapies). Applicants will collaborate with NIH-funded consultants and can augment their project with NIH contract research organizations (CROs) that specialize in manufacturing, scaling, pharmacokinetics, toxicology, and Phase I clinical testing. BPN-Biologics awardee institutions retain their assignment of IP rights and gain assignment of IP rights from the BPN-Biologics contractors (and thereby control the patent prosecution and licensing negotiations) for biotherapeutic candidates developed in this program.",Synopsis 1,No,06122024,FBOWebmaster@OD.NIH.GOV,"If you have any problems linking to this funding announcement, please contact the NIH OER Webmaster",NIH OER Webmaster&lt;br/&gt;FBOWebmaster@OD.NIH.GOV,http://grants.nih.gov/grants/guide/pa-files/PAR-21-163.html,http://grants.nih.gov/grants/guide/pa-files/PAR-21-163.html,,
332069,Innovation Grants to Nurture Initial Translational Efforts (IGNITE): Assay Development and Neurotherapeutic Agent Identification (R61/R33 Clinical Trial Not Allowed),PAR-21-124,D,G,HL,,93.853,25,Other Eligible Applicants include the following:  Alaska Native and Native Hawaiian Serving Institutions; Asian American Native American Pacific Islander Serving Institutions (AANAPISISs); Eligible Agencies of the Federal Government; Faith-based or Community-based Organizations; Hispanic-serving Institutions; Historically Black Colleges and Universities (HBCUs); Indian/Native American Tribal Governments (Other than Federally Recognized); Non-domestic (non-U.S.) Entities (Foreign Organizations); Regional Organizations; Tribally Controlled Colleges and Universities (TCCUs) ; U.S. Territory or Possession.,HHS-NIH11,National Institutes of Health,03112021,2024-02-20,01212022,,,,,This funding opportunity announcement (FOA) encourages research grant applications to develop in vitro and/or ex vivo assays and conduct iterative screening efforts to identify and characterize potential therapeutic agents for neurological or neuromuscular disorders. This FOA is part of a suite of Innovation Grants to Nurture Initial Translational Efforts (IGNITE) to advance projects to the point where they can meet the entry criteria for the Blueprint Neurotherapeutics Network (BPN) or other translational programs.,Synopsis 1,No,03272024,FBOWebmaster@OD.NIH.GOV,"If you have any problems linking to this funding announcement, please contact the NIH OER Webmaster",NIH OER Webmaster&lt;br/&gt;FBOWebmaster@OD.NIH.GOV,http://grants.nih.gov/grants/guide/pa-files/PAR-21-124.html,http://grants.nih.gov/grants/guide/pa-files/PAR-21-124.html,,
332068,Innovation Grants to Nurture Initial Translational Efforts (IGNITE):  Development and Validation of Model Systems to Facilitate Neurotherapeutic Discovery (R61/R33 Clinical Trial Not Allowed),PAR-21-123,D,G,HL,,93.853,25,Other Eligible Applicants include the following:  Alaska Native and Native Hawaiian Serving Institutions; Asian American Native American Pacific Islander Serving Institutions (AANAPISISs); Eligible Agencies of the Federal Government; Faith-based or Community-based Organizations; Hispanic-serving Institutions; Historically Black Colleges and Universities (HBCUs); Indian/Native American Tribal Governments (Other than Federally Recognized); Non-domestic (non-U.S.) Entities (Foreign Organizations); Regional Organizations; Tribally Controlled Colleges and Universities (TCCUs) ; U.S. Territory or Possession.,HHS-NIH11,National Institutes of Health,03112021,2024-02-20,01212022,,,,,"This funding opportunity announcement (FOA) encourages the development and validation of animal models and human/animal tissue ex vivo systems that recapitulate the phenotypic and physiologic characteristics of a defined neurological or neuromuscular disorder. The goal of this FOA is to promote a significant improvement in the translational relevance of animal models or ex vivo systems that will be utilized to facilitate future development of neurotherapeutics. Ideally, models proposed for this FOA would have the potential to provide feasible and meaningful assessments of efficacy following therapeutic intervention that would be applicable in both preclinical and clinical settings. This FOA is part of a suite of Innovation Grants to Nurture Initial Translational Efforts (IGNITE) Program focused on enabling the exploratory and early stages of drug discovery.",Synopsis 1,No,03272024,FBOWebmaster@OD.NIH.GOV,"If you have any problems linking to this funding announcement, please contact the NIH OER Webmaster",NIH OER Webmaster&lt;br/&gt;FBOWebmaster@OD.NIH.GOV,http://grants.nih.gov/grants/guide/pa-files/PAR-21-123.html,http://grants.nih.gov/grants/guide/pa-files/PAR-21-123.html,,
332086,Modular R01s in Cancer Control and Population Sciences (R01 Clinical Trial Optional),PAR-21-190,D,G,HL,,93.399,25,Other Eligible Applicants include the following:  Alaska Native and Native Hawaiian Serving Institutions; Asian American Native American Pacific Islander Serving Institutions (AANAPISISs); Eligible Agencies of the Federal Government; Faith-based or Community-based Organizations; Hispanic-serving Institutions; Historically Black Colleges and Universities (HBCUs); Indian/Native American Tribal Governments (Other than Federally Recognized); Non-domestic (non-U.S.) Entities (Foreign Organizations); Regional Organizations; Tribally Controlled Colleges and Universities (TCCUs) ; U.S. Territory or Possession.,HHS-NIH11,National Institutes of Health,03122021,2024-03-07,01212022,250000,,,,"This funding opportunity announcement (FOA) encourages applications for research in cancer control and population sciences. The overarching goal is to provide support to promote research efforts on novel scientific ideas that have the potential to substantially advance cancer research in statistical and analytic methods, epidemiology, cancer survivorship, cancer-related behaviors and behavioral interventions, health care delivery, and implementation science.",Synopsis 1,No,04122024,FBOWebmaster@OD.NIH.GOV,"If you have any problems linking to this funding announcement, please contact the NIH OER Webmaster",NIH OER Webmaster&lt;br/&gt;FBOWebmaster@OD.NIH.GOV,http://grants.nih.gov/grants/guide/pa-files/PAR-21-190.html,http://grants.nih.gov/grants/guide/pa-files/PAR-21-190.html,,
332081,Innovation Grants to Nurture Initial Translational Efforts (IGNITE): Neurotherapeutic Agent Characterization and In vivo Efficacy Studies (R61/R33 Clinical Trial Not Allowed),PAR-21-122,D,G,HL,,93.853,25,Other Eligible Applicants include the following:  Alaska Native and Native Hawaiian Serving Institutions; Asian American Native American Pacific Islander Serving Institutions (AANAPISISs); Eligible Agencies of the Federal Government; Faith-based or Community-based Organizations; Hispanic-serving Institutions; Historically Black Colleges and Universities (HBCUs); Indian/Native American Tribal Governments (Other than Federally Recognized); Non-domestic (non-U.S.) Entities (Foreign Organizations); Regional Organizations; Tribally Controlled Colleges and Universities (TCCUs) ; U.S. Territory or Possession.,HHS-NIH11,National Institutes of Health,03112021,2024-02-20,01212022,499000,,,,"This FOA provides funding to conduct pharmacodynamic, pharmacokinetic, and in vivo efficacy studies to demonstrate that proposed therapeutic agent(s) have sufficient biological activity to warrant further development to treat neurological or neuromuscular disorders that fall under the NINDS mission. Therapeutic agents include small molecules, biologics or biotechnology-derived products. This FOA is part of a suite of Innovation Grants to Nurture Initial Translational Efforts (IGNITE) to advance projects to the point where they can meet the entry criteria for the Blueprint Neurotherapeutics Network or other translational programs.",Synopsis 1,No,03272024,FBOWebmaster@OD.NIH.GOV,"If you have any problems linking to this funding announcement, please contact the NIH OER Webmaster",NIH OER Webmaster&lt;br/&gt;FBOWebmaster@OD.NIH.GOV,http://grants.nih.gov/grants/guide/pa-files/PAR-21-122.html,http://grants.nih.gov/grants/guide/pa-files/PAR-21-122.html,,
332110,Medical Scientist Training Program (T32),PAR-21-189,D,G,HL,,93.859,25,Other Eligible Applicants include the following:  Alaska Native and Native Hawaiian Serving Institutions; Asian American Native American Pacific Islander Serving Institutions (AANAPISISs); Faith-based or Community-based Organizations; Hispanic-serving Institutions; Historically Black Colleges and Universities (HBCUs); Indian/Native American Tribal Governments (Other than Federally Recognized); Tribally Controlled Colleges and Universities (TCCUs) ; U.S. Territory or Possession; Non-domestic (non-U.S.) Entities (Foreign Institutions) are not eligible to apply.  Non-domestic (non-U.S.) components of U.S. Organizations are not eligible to apply.,HHS-NIH11,National Institutes of Health,03152021,2024-01-25,01212022,,,,,"The goal of the Medical Scientist Training Program (MSTP) is to develop a diverse pool of highly trained physician-scientist leaders available to meet the needs of the Nations biomedical research agenda. Specifically, this funding opportunity announcement (FOA) provides support to eligible domestic institutions to develop and implement effective, evidence-based approaches to integrated dual-degree training leading to the award of both professional medical doctorate degrees and research doctorate degrees (Ph.D. or equivalent). With the dual qualification of rigorous scientific research and clinical practice, graduates will be equipped with the skills to develop research programs that accelerate the translation of research advances to the understanding, detection, treatment and prevention of human disease, and to lead the advancement of biomedical research. Areas of particular importance to NIGMS are the iterative optimization of MSTP training efficacy and efficiency, fostering the persistence of MSTP alumni in research careers, and enhancing the diversity of the physician-scientist workforce. NIGMS expects that the proposed research training programs will incorporate didactic, research, mentoring and career development elements to prepare trainees for careers that will have a significant impact on the health-related research needs of the Nation.",Synopsis 1,No,03012024,FBOWebmaster@OD.NIH.GOV,"If you have any problems linking to this funding announcement, please contact the NIH OER Webmaster",NIH OER Webmaster&lt;br/&gt;FBOWebmaster@OD.NIH.GOV,http://grants.nih.gov/grants/guide/pa-files/PAR-21-189.html,http://grants.nih.gov/grants/guide/pa-files/PAR-21-189.html,,
332113,The NCI Transition Career Development Award (K22 Independent Basic Experimental Studies with Humans Required),PAR-21-318,D,G,HL,,93.398,25,"Other Eligible Applicants include the following:  Alaska Native and Native Hawaiian Serving Institutions; Asian American Native American Pacific Islander Serving Institutions (AANAPISISs); Eligible Agencies of the Federal Government; Faith-based or Community-based Organizations; Hispanic-serving Institutions; Historically Black Colleges and Universities (HBCUs); Indian/Native American Tribal Governments (Other than Federally Recognized); Regional Organizations; Tribally Controlled Colleges and Universities (TCCUs) ; U.S. Territory or Possession; Non-domestic (non-U.S.) Entities (Foreign Institutions) are not eligible to apply. Non-domestic (non-U.S.) components of U.S. Organizations are not eligible to apply. Foreign components, as defined in the NIH Grants Policy Statement, are allowed.",HHS-NIH11,National Institutes of Health,03152021,2024-03-14,01212022,,,,,"This Funding Opportunity Announcement (FOA) represents the continuation of an NCI program to facilitate the transition of investigators in mentored, non-independent cancer research positions to independent faculty cancer research positions. This goal is achieved by providing protected time through salary and research support for the initial 3 years of the first independent tenure-track faculty position, or its equivalent, beginning at the time when the candidate starts a tenure-track faculty position.",Synopsis 1,No,04192024,FBOWebmaster@OD.NIH.GOV,"If you have any problems linking to this funding announcement, please contact the NIH OER Webmaster",NIH OER Webmaster&lt;br/&gt;FBOWebmaster@OD.NIH.GOV,http://grants.nih.gov/grants/guide/pa-files/PAR-21-318.html,http://grants.nih.gov/grants/guide/pa-files/PAR-21-318.html,,
332114,The NCI Transition Career Development Award (K22 - Independent Clinical Trial Required),PAR-21-111,D,G,HL,,93.398,25,"Other Eligible Applicants include the following:  Alaska Native and Native Hawaiian Serving Institutions; Asian American Native American Pacific Islander Serving Institutions (AANAPISISs); Eligible Agencies of the Federal Government; Faith-based or Community-based Organizations; Hispanic-serving Institutions; Historically Black Colleges and Universities (HBCUs); Indian/Native American Tribal Governments (Other than Federally Recognized); Regional Organizations; Tribally Controlled Colleges and Universities (TCCUs) ; U.S. Territory or Possession; Non-domestic (non-U.S.) Entities (Foreign Institutions) are not eligible to apply. Non-domestic (non-U.S.) components of U.S. Organizations are not eligible to apply. Foreign components, as defined in the NIH Grants Policy Statement, are allowed.",HHS-NIH11,National Institutes of Health,03152021,2024-03-14,01212022,,,,,"This Funding Opportunity Announcement (FOA) represents the continuation of an NCI program to facilitate the transition of investigators in mentored, non-independent cancer research positions to independent faculty cancer research positions. This goal is achieved by providing protected time through salary and research support for the initial 3 years of the first independent tenure-track faculty position, or its equivalent, beginning at the time when the candidate starts a tenure-track faculty position.",Synopsis 1,No,04192024,FBOWebmaster@OD.NIH.GOV,"If you have any problems linking to this funding announcement, please contact the NIH OER Webmaster",NIH OER Webmaster&lt;br/&gt;FBOWebmaster@OD.NIH.GOV,http://grants.nih.gov/grants/guide/pa-files/PAR-21-111.html,http://grants.nih.gov/grants/guide/pa-files/PAR-21-111.html,,
